Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
CONTEIBUTIONS	conteibution	NOUN	NNS	ROOT	CONTEIBUTIONS		True	False	False
TO	to	ADP	IN	prep	CONTEIBUTIONS		True	False	True
THE	the	DET	DT	det	HISTORIES		True	False	True
LIFE	life	NOUN	NN	compound	HISTORIES		True	False	False
-	-	PUNCT	HYPH	punct	HISTORIES		False	True	False
HISTORIES	history	NOUN	NNS	pobj	TO		True	False	False
OF	of	ADP	IN	prep	HISTORIES		True	False	True
PLANTS	PLANTS	PROPN	NNPS	pobj	OF		True	False	False
,	,	PUNCT	,	punct	CONTEIBUTIONS		False	True	False
NO	no	DET	DT	appos	CONTEIBUTIONS		True	False	True
7	7	NUM	CD	nummod	NO	CARDINAL	False	False	False
.	.	PUNCT	.	punct	NO		False	True	False
"
"	"
"	SPACE	_SP	prep	CONTEIBUTIONS		False	False	False
BY	by	ADP	IN	prep	CONTEIBUTIONS		True	False	True
THOMAS	THOMAS	PROPN	NNP	compound	MEEHAN	PERSON	True	False	False
MEEHAN	MEEHAN	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	CONTEIBUTIONS		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
On	on	ADP	IN	prep	"
"		True	False	True
THE	the	DET	DT	det	Vitality		True	False	True
Vitality	vitality	NOUN	NN	pobj	On		True	False	False
of	of	ADP	IN	prep	Vitality		True	False	True
some	some	DET	DT	det	Plants		True	False	True
Annual	annual	ADJ	JJ	compound	Plants	DATE	True	False	False
Plants	plant	NOUN	NNS	pobj	of		True	False	False
.	.	PUNCT	.	punct	On		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
Prof.	Prof.	PROPN	NNP	dep	is		False	False	False
Tbeo	Tbeo	PROPN	NNP	nmod	"
"	PERSON	True	False	False
.	.	PUNCT	.	punct	"
"	PERSON	False	True	False
"
"	"
"	SPACE	_SP	punct	Prof.	PERSON	False	False	False
Holm	Holm	PROPN	NNP	nsubj	is	PERSON	True	False	False
,	,	PUNCT	,	punct	Holm		False	True	False
of	of	ADP	IN	prep	Holm		True	False	True
the	the	DET	DT	det	Institution	ORG	True	False	True
Smithsonian	Smithsonian	PROPN	NNP	compound	Institution	ORG	True	False	False
Institution	Institution	PROPN	NNP	pobj	of	ORG	True	False	False
,	,	PUNCT	,	punct	Holm		False	True	False
is	be	AUX	VBZ	ROOT	is		True	False	True
the	the	DET	DT	det	aiitlior		True	False	True
aiitlior	aiitlior	NOUN	NN	attr	is		True	False	False
of	of	ADP	IN	prep	aiitlior		True	False	True
a	a	DET	DT	det	paper		True	False	True
suggestive	suggestive	ADJ	JJ	amod	paper		True	False	False
paper	paper	NOUN	NN	pobj	of		True	False	False
under	under	ADP	IN	prep	paper		True	False	True
this	this	DET	DT	det	title		True	False	True
title	title	NOUN	NN	pobj	under		True	False	False
.	.	PUNCT	''	punct	is		False	True	False
'	'	PUNCT	''	punct	is		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
He	he	PRON	PRP	nsubj	notes		True	False	True
notes	note	VERB	VBZ	ROOT	notes		True	False	False
a	a	DET	DT	det	number		True	False	True
number	number	NOUN	NN	dobj	notes		True	False	False
of	of	ADP	IN	prep	number		True	False	True
species	specie	NOUN	NNS	pobj	of		True	False	False
generally	generally	ADV	RB	advmod	recognized		True	False	False
recognized	recognize	VERB	VBN	acl	species		True	False	False
