Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
NOTES	note	NOUN	NNS	ROOT	NOTES		True	False	False
ON	on	ADP	IN	prep	NOTES		True	False	True
TECTIBRANCHS	tectibranch	NOUN	NNS	pobj	ON		True	False	False
AND	and	CCONJ	CC	cc	TECTIBRANCHS		True	False	True
NAKED	nake	VERB	VBN	amod	MOLLUSKS		True	False	False
MOLLUSKS	mollusk	NOUN	NNS	conj	TECTIBRANCHS		True	False	False
FROM	from	ADP	IN	prep	MOLLUSKS		True	False	True
SAMOA	SAMOA	PROPN	NNP	pobj	FROM	GPE	True	False	False
.	.	PUNCT	.	punct	NOTES		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	prep	"
"		True	False	True
C.	C.	PROPN	NNP	compound	ELIOT	PERSON	False	False	False
ELIOT	ELIOT	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"
"	"
"	SPACE	_SP	punct	collected		False	False	False
Between	between	ADP	IN	prep	collected	DATE	True	False	True
the	the	DET	DT	det	middle	DATE	True	False	True
middle	middle	NOUN	NN	pobj	Between	DATE	True	False	False
of	of	ADP	IN	prep	middle	DATE	True	False	True
May	May	PROPN	NNP	pobj	of	DATE	True	False	True
and	and	CCONJ	CC	cc	middle		True	False	True
the	the	DET	DT	det	end	DATE	True	False	True
end	end	NOUN	NN	conj	middle	DATE	True	False	False
of	of	ADP	IN	prep	end	DATE	True	False	True
July	July	PROPN	NNP	pobj	of	DATE	True	False	False
,	,	PUNCT	,	punct	July	DATE	False	True	False
1899	1899	NUM	CD	nummod	middle	DATE	False	False	False
,	,	PUNCT	,	punct	collected		False	True	False
I	I	PRON	PRP	nsubj	collected		True	False	True
collected	collect	VERB	VBD	ROOT	collected		True	False	False
a	a	DET	DT	det	number		True	False	True
number	number	NOUN	NN	dobj	collected		True	False	False
of	of	ADP	IN	prep	number		True	False	True
mollusks	mollusk	NOUN	NNS	pobj	of		True	False	False
on	on	ADP	IN	prep	number		True	False	True
the	the	DET	DT	det	coasts		True	False	True
coasts	coast	NOUN	NNS	pobj	on	HABITAT	True	False	False
of	of	ADP	IN	prep	coasts		True	False	True
the	the	DET	DT	det	islands		True	False	True
Samoan	samoan	ADJ	JJ	amod	islands	NORP	True	False	False
islands	island	NOUN	NNS	pobj	of		True	False	False
,	,	PUNCT	,	punct	collected		False	True	False
chiefly	chiefly	ADV	RB	advmod	on		True	False	False
on	on	ADP	IN	prep	collected		True	False	True
the	the	DET	DT	det	reef		True	False	True
reef	reef	NOUN	NN	pobj	on	HABITAT	True	False	False
at	at	ADP	IN	prep	reef		True	False	True
Apia	Apia	PROPN	NNP	pobj	at	LOC	True	False	False
.	.	PUNCT	.	punct	collected		False	True	False
"
"	"
"	SPACE	_SP	punct	seem		False	False	False
Some	some	DET	DT	nsubj	seem		True	False	True
of	of	ADP	IN	prep	Some		True	False	True
the	the	DET	DT	det	Tectibranchs		True	False	True
Tectibranchs	tectibranch	NOUN	NNS	pobj	of		True	False	False
and	and	CCONJ	CC	cc	Tectibranchs		True	False	True
Nudibranchs	nudibranch	NOUN	NNS	conj	Tectibranchs		True	False	False
which	which	DET	WDT	dobj	obtained		True	False	True
I	I	PRON	PRP	nsubj	obtained		True	False	True
obtained	obtain	VERB	VBD	relcl	Tectibranchs		True	False	False
seem	seem	VERB	VBP	ROOT	seem		True	False	True
to	to	ADP	IN	prep	seem		True	False	True
me	I	PRON	PRP	pobj	to		True	False	True
to	to	PART	TO	aux	be		True	False	True
be	be	VERB	VB	xcomp	seem		True	False	True
undescribed	undescribed	ADJ	JJ	amod	species		True	False	False
species	specie	NOUN	NNS	attr	be		True	False	False
,	,	PUNCT	,	punct	seem		False	True	False
and	and	CCONJ	CC	cc	seem		True	False	True
few	few	ADJ	JJ	nsubjpass	examined		True	False	True
of	of	ADP	IN	prep	few		True	False	True
them	they	PRON	PRP	pobj	of		True	False	True
have	have	AUX	VBP	aux	examined		True	False	True
been	be	AUX	VBN	auxpass	examined		True	False	True
examined	examine	VERB	VBN	conj	seem		True	False	False
in	in	ADP	IN	prep	examined		True	False	True
the	the	DET	DT	det	condition		True	False	True
living	living	NOUN	NN	amod	condition		True	False	False
condition	condition	NOUN	NN	pobj	in		True	False	False
by	by	ADP	IN	agent	examined		True	False	True
more	more	ADJ	JJR	amod	one	CARDINAL	True	False	True
than	than	SCONJ	IN	quantmod	one	CARDINAL	True	False	True
one	one	NUM	CD	nummod	observers	CARDINAL	True	False	True
or	or	CCONJ	CC	cc	one		True	False	True
two	two	NUM	CD	conj	one	CARDINAL	True	False	True
observers	observer	NOUN	NNS	pobj	by		True	False	False
.	.	PUNCT	.	punct	examined		False	True	False
"
"	"
"	SPACE	_SP	aux	submit		False	False	False
I	I	PRON	PRP	nsubj	submit		True	False	True
therefore	therefore	ADV	RB	advmod	submit		True	False	True
submit	submit	VERB	VBP	ROOT	submit		True	False	False
the	the	DET	DT	det	notes		True	False	True
following	follow	VERB	VBG	amod	notes		True	False	False
notes	note	NOUN	NNS	dobj	submit		True	False	False
,	,	PUNCT	,	punct	submit		False	True	False
to	to	ADP	IN	prep	submit		True	False	True
those	those	DET	DT	pobj	to		True	False	True
who	who	PRON	WP	nsubj	are		True	False	True
are	be	VERB	VBP	relcl	those		True	False	True
interested	interested	ADJ	JJ	acomp	are		True	False	False
in	in	ADP	IN	prep	interested		True	False	True
this	this	DET	DT	det	group		True	False	True
group	group	NOUN	NN	pobj	in		True	False	False
of	of	ADP	IN	prep	group		True	False	True
animals	animal	NOUN	NNS	pobj	of		True	False	False
.	.	PUNCT	.	punct	submit		False	True	False
"
"	"
"	SPACE	_SP	punct	are		False	False	False
My	my	PRON	PRP$	poss	thanks		True	False	True
best	good	ADJ	JJS	amod	thanks		True	False	False
thanks	thank	NOUN	NNS	nsubj	are		True	False	False
are	be	AUX	VBP	ROOT	are		True	False	True
due	due	ADJ	JJ	acomp	are		True	False	True
to	to	ADP	IN	prep	due		True	False	True
the	the	DET	DT	det	authorities		True	False	True
authorities	authority	NOUN	NNS	pobj	to		True	False	False
of	of	ADP	IN	prep	authorities		True	False	True
the	the	DET	DT	det	Institution	ORG	True	False	True
