Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
REPTILES	reptile	NOUN	NNS	ROOT	REPTILES		True	False	False
FROM	from	ADP	IN	prep	REPTILES		True	False	True
SONORA	SONORA	PROPN	NNP	pobj	FROM	GPE	True	False	False
,	,	PUNCT	,	punct	SONORA		False	True	False
SINALOA	SINALOA	PROPN	NNP	conj	SONORA	GPE	True	False	False
AND	and	CCONJ	CC	cc	SINALOA		True	False	True
JALISCO	JALISCO	PROPN	NNP	conj	SINALOA	GPE	True	False	False
,	,	PUNCT	,	punct	JALISCO		False	True	False
MEXICO	MEXICO	PROPN	NNP	appos	JALISCO	GPE	True	False	False
,	,	PUNCT	,	punct	JALISCO		False	True	False
WITH	with	ADP	IN	prep	REPTILES		True	False	True
A	a	DET	DT	det	DESCRIPTION		True	False	True
DESCRIPTION	description	NOUN	NN	pobj	WITH		True	False	False
OF	of	ADP	IN	prep	DESCRIPTION		True	False	True
A	a	DET	DT	det	SPECIES		True	False	True
NEW	new	ADJ	JJ	amod	SPECIES		True	False	False
SPECIES	specie	NOUN	NNS	pobj	OF		True	False	False
OF	of	ADP	IN	prep	SPECIES		True	False	True
SCELOPORUS	sceloporus	NOUN	NN	pobj	OF		True	False	False
.	.	PUNCT	.	punct	REPTILES		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	prep	"
"		True	False	True
JOHN	JOHN	PROPN	NNP	compound	DENBURGH	PERSON	True	False	False
VAN	VAN	PROPN	NNP	compound	DENBURGH	PERSON	True	False	False
DENBURGH	DENBURGH	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
This	this	DET	DT	det	paper		True	False	True
paper	paper	NOUN	NN	nsubj	is		True	False	False
is	be	AUX	VBZ	ROOT	is		True	False	True
an	an	DET	DT	det	enumeration		True	False	True
enumeration	enumeration	NOUN	NN	attr	is		True	False	False
of	of	ADP	IN	prep	enumeration		True	False	True
the	the	DET	DT	det	species		True	False	True
species	specie	NOUN	NNS	pobj	of		True	False	False
of	of	ADP	IN	prep	species		True	False	True
reptiles	reptile	NOUN	NNS	pobj	of		True	False	False
contained	contain	VERB	VBN	acl	species		True	False	False
in	in	ADP	IN	prep	contained		True	False	True
three	three	NUM	CD	nummod	collections	CARDINAL	True	False	True
small	small	ADJ	JJ	amod	collections		True	False	False
collections	collection	NOUN	NNS	pobj	in		True	False	False
,	,	PUNCT	,	punct	is		False	True	False
and	and	CCONJ	CC	cc	is		True	False	True
is	be	AUX	VBZ	auxpass	presented		True	False	True
presented	present	VERB	VBN	conj	is		True	False	False
in	in	ADP	IN	prep	presented		True	False	True
the	the	DET	DT	det	hope		True	False	True
hope	hope	NOUN	NN	pobj	in		True	False	False
that	that	SCONJ	IN	mark	be		True	False	True
it	it	PRON	PRP	nsubj	be		True	False	True
may	may	AUX	MD	aux	be		True	False	True
be	be	VERB	VB	acl	hope		True	False	True
of	of	ADP	IN	prep	be		True	False	True
use	use	NOUN	NN	pobj	of		True	False	False
to	to	ADP	IN	prep	use		True	False	True
those	those	DET	DT	pobj	to		True	False	True
who	who	PRON	WP	nsubj	are		True	False	True
are	be	VERB	VBP	relcl	those		True	False	True
interested	interested	ADJ	JJ	acomp	are		True	False	False
in	in	ADP	IN	prep	interested		True	False	True
the	the	DET	DT	det	distribution		True	False	True
distribution	distribution	NOUN	NN	pobj	in		True	False	False
of	of	ADP	IN	prep	distribution		True	False	True
Mexican	mexican	ADJ	JJ	amod	lizards	NORP	True	False	False
lizards	lizard	NOUN	NNS	pobj	of		True	False	False
and	and	CCONJ	CC	cc	lizards		True	False	True
snakes	snake	NOUN	NNS	conj	lizards		True	False	False
.	.	PUNCT	.	punct	is		False	True	False
"
"	"
"	SPACE	_SP	punct	are		False	False	False
Two	two	NUM	CD	nsubj	are	CARDINAL	True	False	True
of	of	ADP	IN	prep	Two		True	False	True
these	these	DET	DT	det	collections		True	False	True
collections	collection	NOUN	NNS	pobj	of		True	False	False
are	be	AUX	VBP	ROOT	are		True	False	True
in	in	ADP	IN	prep	are		True	False	True
the	the	DET	DT	det	Academy	ORG	True	False	True
California	California	PROPN	NNP	compound	Academy	ORG	True	False	False
Academy	Academy	PROPN	NNP	pobj	in	ORG	True	False	False
of	of	ADP	IN	prep	Academy	ORG	True	False	True
Sciences	Sciences	PROPN	NNPS	pobj	of	ORG	True	False	False
:	:	PUNCT	:	punct	are		False	True	False
the	the	DET	DT	det	first		True	False	True
first	first	ADJ	JJ	appos	Two	ORDINAL	True	False	True
,	,	PUNCT	,	punct	first		False	True	False
gathered	gather	VERB	VBN	acl	first		True	False	False
in	in	ADP	IN	prep	gathered		True	False	True
Sonora	Sonora	PROPN	NNP	pobj	in	GPE	True	False	False
by	by	ADP	IN	agent	gathered		True	False	True
Dr.	Dr.	PROPN	NNP	compound	Eisen		False	False	False
Gustav	Gustav	PROPN	NNP	compound	Eisen	PERSON	True	False	False
Eisen	Eisen	PROPN	NNP	pobj	by	PERSON	True	False	False
and	and	CCONJ	CC	cc	Eisen		True	False	True
Mr.	Mr.	PROPN	NNP	compound	Bryant		False	False	False
Walter	Walter	PROPN	NNP	compound	Bryant	PERSON	True	False	False
E.	E.	PROPN	NNP	compound	Bryant	PERSON	False	False	False
Bryant	Bryant	PROPN	NNP	conj	Eisen	PERSON	True	False	False
in	in	ADP	IN	prep	gathered		True	False	True
April	April	PROPN	NNP	pobj	in	DATE	True	False	False
and	and	CCONJ	CC	cc	April	DATE	True	False	True
May	May	PROPN	NNP	conj	April	DATE	True	False	True
,	,	PUNCT	,	punct	April	DATE	False	True	False
1S92	1s92	NUM	CD	npadvmod	April	DATE	False	False	False
;	;	PUNCT	:	punct	first		False	True	False
the	the	DET	DT	det	second		True	False	True
second	second	ADJ	JJ	amod	first	ORDINAL	True	False	False
,	,	PUNCT	,	punct	second		False	True	False
due	due	ADJ	JJ	amod	to		True	False	True
to	to	ADP	IN	prep	second		True	False	True
the	the	DET	DT	det	efforts		True	False	True
efforts	effort	NOUN	NNS	pobj	to		True	False	False
of	of	ADP	IN	prep	efforts		True	False	True
Dr.	Dr.	PROPN	NNP	compound	Eisen		False	False	False
Eisen	Eisen	PROPN	NNP	pobj	of	PERSON	True	False	False
and	and	CCONJ	CC	cc	Eisen		True	False	True
Mr.	Mr.	PROPN	NNP	compound	Vaslit		False	False	False
Frank	Frank	PROPN	NNP	compound	Vaslit	PERSON	True	False	False
H.	H.	PROPN	NNP	compound	Vaslit	PERSON	False	False	False
Vaslit	Vaslit	PROPN	NNP	conj	Eisen	PERSON	True	False	False
in	in	ADP	IN	prep	efforts		True	False	True
Sinaloa	Sinaloa	PROPN	NNP	pobj	in	GPE	True	False	False
and	and	CCONJ	CC	cc	Sinaloa		True	False	True
Jalisco	Jalisco	PROPN	NNP	conj	Sinaloa	GPE	True	False	False
in	in	ADP	IN	prep	efforts		True	False	True
October	October	PROPN	NNP	pobj	in	DATE	True	False	False
and	and	CCONJ	CC	cc	October		True	False	True
November	November	PROPN	NNP	conj	October	DATE	True	False	False
,	,	PUNCT	,	punct	October		False	True	False
1894	1894	NUM	CD	appos	October	DATE	False	False	False
.	.	PUNCT	.	punct	first		False	True	False
"
"	"
"	SPACE	_SP	punct	are		False	False	False
The	the	DET	DT	det	collection		True	False	True
third	third	ADJ	JJ	amod	collection	ORDINAL	True	False	True
collection	collection	NOUN	NN	nsubjpass	secured		True	False	False
was	be	AUX	VBD	auxpass	secured		True	False	True
secured	secure	VERB	VBN	acl	Two		True	False	False
by	by	ADP	IN	agent	secured		True	False	True
Dr.	Dr.	PROPN	NNP	compound	Jordan		False	False	False
David	David	PROPN	NNP	compound	Jordan	PERSON	True	False	False
Starr	Starr	PROPN	NNP	compound	Jordan	PERSON	True	False	False
Jordan	Jordan	PROPN	NNP	pobj	by	PERSON	True	False	False
and	and	CCONJ	CC	cc	Jordan		True	False	True
a	a	DET	DT	det	j)arty		True	False	True
j)arty	j)arty	NOUN	NN	conj	Jordan		False	False	False
of	of	ADP	IN	prep	j)arty		True	False	True
students	student	NOUN	NNS	pobj	of		True	False	False
at	at	ADP	IN	prep	students		True	False	True
Mazatlan	Mazatlan	PROPN	NNP	pobj	at	GPE	True	False	False
in	in	ADP	IN	prep	secured		True	False	True
December	December	PROPN	NNP	pobj	in	DATE	True	False	False
,	,	PUNCT	,	punct	December	DATE	False	True	False
1894	1894	NUM	CD	npadvmod	December	DATE	False	False	False
,	,	PUNCT	,	punct	December		False	True	False
and	and	CCONJ	CC	cc	December		True	False	True
January	January	PROPN	NNP	conj	December	DATE	True	False	False
,	,	PUNCT	,	punct	January	DATE	False	True	False
1895	1895	NUM	CD	npadvmod	January	DATE	False	False	False
,	,	PUNCT	,	punct	secured		False	True	False
and	and	CCONJ	CC	cc	secured		True	False	True
is	be	VERB	VBZ	conj	secured		True	False	True
in	in	ADP	IN	prep	is		True	False	True
the	the	DET	DT	det	Museum	ORG	True	False	True
Zoological	Zoological	PROPN	NNP	compound	Museum	ORG	True	False	False
Museum	Museum	PROPN	NNP	pobj	in	ORG	True	False	False
of	of	ADP	IN	prep	Museum		True	False	True
Leland	Leland	PROPN	NNP	compound	University	ORG	True	False	False
Stanford	Stanford	PROPN	NNP	compound	University	ORG	True	False	False
Junior	Junior	PROPN	NNP	compound	University	ORG	True	False	False
University	University	PROPN	NNP	pobj	of	ORG	True	False	False
.	.	PUNCT	.	punct	secured		False	True	False
"
"	"
"	SPACE	_SP	punct	are		False	False	False
1	1	X	LS	meta	"
"	CARDINAL	False	False	False
.	.	PUNCT	.	punct	1		False	True	False
"
"	"
"	SPACE	_SP	nummod	Wiegm		False	False	False
Phyllodactylus	phyllodactylus	NOUN	NN	compound	Wiegm	TAXA	True	False	False
tuberculosus	tuberculosus	NOUN	NN	compound	Wiegm	TAXA	True	False	False
Wiegm	Wiegm	PROPN	NNP	attr	are		True	False	False
.	.	PUNCT	.	punct	are		False	True	False
"
"	"
"	SPACE	_SP	auxpass	obtained		False	False	False
A	a	DET	DT	det	specimen		True	False	True
fine	fine	ADJ	JJ	amod	specimen		True	False	False
specimen	specimen	NOUN	NN	nsubjpass	"
"		True	False	False
of	of	ADP	IN	prep	specimen		True	False	True
this	this	DET	DT	det	gecko		True	False	True
gecko	gecko	NOUN	NN	pobj	of		True	False	False
(	(	PUNCT	-LRB-	punct	gecko		False	True	False
