Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
INDEX	index	NOUN	NN	ROOT	INDEX		True	False	False
TO	to	ADP	IN	prep	INDEX		True	False	True
GENERA	genera	NOUN	NN	pobj	TO		True	False	False
.	.	PUNCT	.	punct	INDEX		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
48	48	NUM	CD	nummod	T		False	False	False
T	t	NOUN	NN	npadvmod	"
"		True	False	False
Sabinea	Sabinea	PROPN	NNP	appos	T	TAXA	True	False	False
41.2	41.2	NUM	CD	nummod	Sarda		False	False	False
Sarda	Sarda	PROPN	NNP	appos	Sabinea	TAXA	True	False	False
133	133	NUM	CD	nummod	Sauropus		False	False	False
Sauropus	Sauropus	PROPN	NNP	appos	Sarda	TAXA	True	False	False
1	1	NUM	CD	nummod	Scapbiocrinus		False	False	False
05	05	NUM	CD	nummod	Scapbiocrinus		False	False	False
Scapbiocrinus	Scapbiocrinus	PROPN	NNP	appos	Sauropus		True	False	False
285	285	NUM	CD	appos	Scapbiocrinus		False	False	False
,	,	PUNCT	,	punct	Scapbiocrinus		False	True	False
335	335	NUM	CD	nummod	Scomber		False	False	False
Scomber	Scomber	PROPN	NNP	appos	Scapbiocrinus	TAXA	True	False	False
133	133	NUM	CD	nummod	Scytalocrinus		False	False	False
Scytalocrinus	Scytalocrinus	PROPN	NNP	appos	Scomber	TAXA	True	False	False
285	285	NUM	CD	appos	Scytalocrinus	CARDINAL	False	False	False
,	,	PUNCT	,	punct	Scapbiocrinus		False	True	False
339	339	NUM	CD	appos	Scapbiocrinus		False	False	False
Semnopitbecus	Semnopitbecus	PROPN	NNP	appos	T		True	False	False
GO	go	NUM	CD	appos	Semnopitbecus		True	False	True
,	,	PUNCT	,	punct	T		False	True	False
140	140	NUM	CD	nummod	Sesarma	CARDINAL	False	False	False
Sesarma	Sesarma	PROPN	NNP	appos	T	TAXA	True	False	False
401	401	NUM	CD	nummod	Sicyocrinus		False	False	False
Sicyocrinus	Sicyocrinus	PROPN	NNP	appos	Sesarma	TAXA	True	False	False
285	285	NUM	CD	appos	Sicyocrinus	CARDINAL	False	False	False
,	,	PUNCT	,	punct	Sicyocrinus		False	True	False
322	322	NUM	CD	nummod	Sicyonia	CARDINAL	False	False	False
Sicyonia	Sicyonia	PROPN	NNP	appos	Sicyocrinus	TAXA	True	False	False
420	420	NUM	CD	nummod	Sigaretus		False	False	False
Sigaretus	Sigaretus	PROPN	NNP	appos	Sicyonia	TAXA	True	False	False
219	219	NUM	CD	appos	Sigaretus	CARDINAL	False	False	False
,	,	PUNCT	,	punct	Sigaretus		False	True	False
224	224	NUM	CD	nummod	Simenia		False	False	False
Simenia	Simenia	PROPN	NNP	appos	Sigaretus	TAXA	True	False	False
184	184	NUM	CD	nummod	Siredon		False	False	False
Siredon	Siredon	PROPN	NNP	appos	Simenia	TAXA	True	False	False
144	144	NUM	CD	nummod	Siren		False	False	False
Siren	Siren	PROPN	NNP	appos	Siredon		True	False	False
144	144	NUM	CD	nummod	Srailodon		False	False	False
Srailodon	Srailodon	PROPN	NNP	appos	Simenia		True	False	False
170	170	NUM	CD	appos	Srailodon		False	False	False
,	,	PUNCT	,	punct	Srailodon		False	True	False
175	175	NUM	CD	appos	Srailodon	CARDINAL	False	False	False
,	,	PUNCT	,	punct	Srailodon		False	True	False
193	193	NUM	CD	nummod	Solarium	CARDINAL	False	False	False
Solarium	Solarium	PROPN	NNP	appos	Srailodon		True	False	False
212	212	NUM	CD	appos	Solarium		False	False	False
,	,	PUNCT	,	punct	Solarium		False	True	False
218	218	NUM	CD	appos	Solarium	CARDINAL	False	False	False
,	,	PUNCT	,	punct	Solarium		False	True	False
219	219	NUM	CD	appos	Solarium	CARDINAL	False	False	False
,	,	PUNCT	,	punct	Solarium		False	True	False
224	224	NUM	CD	nummod	Solen		False	False	False
Solen	Solen	PROPN	NNP	appos	Solarium	TAXA	True	False	False
219	219	NUM	CD	nummod	Solidago		False	False	False
Solidago	Solidago	PROPN	NNP	appos	Solen		True	False	False
10	10	NUM	CD	nummod	Speotbus		False	False	False
Speotbus	Speotbus	PROPN	NNP	appos	Solidago		True	False	False
178	178	NUM	CD	appos	Speotbus		False	False	False
,	,	PUNCT	,	punct	Solidago		False	True	False
185	185	NUM	CD	nummod	Spbseria		False	False	False
Spbseria	Spbseria	PROPN	NNP	appos	Solidago		True	False	False
00	00	NUM	CD	nummod	Spbseria		False	False	False
,	,	PUNCT	,	punct	Sicyocrinus		False	True	False
381	381	NUM	CD	nummod	Spbseropsis		False	False	False
Spbseropsis	Spbseropsis	PROPN	NNP	appos	Sicyocrinus		True	False	False
08	08	NUM	CD	nummod	Sphenoderia		False	False	False
Sphenoderia	Sphenoderia	PROPN	NNP	appos	Spbseropsis	TAXA	True	False	False
103	103	NUM	CD	nummod	Spirifer		False	False	False
Spirifer	Spirifer	PROPN	NNP	appos	Sphenoderia	TAXA	True	False	False
43	43	NUM	CD	nummod	Stalagmium		False	False	False
Stalagmium	Stalagmium	PROPN	NNP	appos	Spbseropsis	TAXA	True	False	False
221	221	NUM	CD	nummod	Stapelia		False	False	False
Stapelia	Stapelia	PROPN	NNP	appos	T	TAXA	True	False	False
205	205	NUM	CD	nummod	Steganocrinus		False	False	False
Steganocrinus	Steganocrinus	PROPN	NNP	appos	Stapelia	TAXA	True	False	False
234	234	NUM	CD	nummod	Stemmatocrinus		False	False	False
Stemmatocrinus	Stemmatocrinus	PROPN	NNP	appos	Steganocrinus	TAXA	True	False	False
280	280	NUM	CD	npadvmod	Stemmatocrinus		False	False	False
,	,	PUNCT	,	punct	T		False	True	False
364	364	NUM	CD	nummod	Stenogyra		False	False	False
Stenogyra	Stenogyra	PROPN	NNP	appos	T	TAXA	True	False	False
19	19	NUM	CD	nummod	Streptocephaliia		False	False	False
Streptocephaliia	Streptocephaliia	PROPN	NNP	appos	Stenogyra		True	False	False
200	200	NUM	CD	nummod	Strotocrinus		False	False	False
Strotocrinus	Strotocrinus	PROPN	NNP	appos	T	TAXA	True	False	False
234	234	NUM	CD	nummod	Succinea		False	False	False
Succinea	Succinea	PROPN	NNP	appos	T	TAXA	True	False	False
20	20	NUM	CD	npadvmod	Succinea		False	False	False
,	,	PUNCT	,	punct	T		False	True	False
33	33	NUM	CD	nummod	Succinellite		False	False	False
Succinellite	Succinellite	PROPN	NNP	appos	T		True	False	False
42	42	NUM	CD	nummod	Succinite		False	False	False
Succinite	Succinite	PROPN	NNP	appos	Succinellite		True	False	False
41	41	NUM	CD	nummod	Symbatbocrymis		False	False	False
Symbatbocrymis	Symbatbocrymis	PROPN	NNP	appos	Succinellite		True	False	False
240	240	NUM	CD	appos	Symbatbocrymis		False	False	False
,	,	PUNCT	,	punct	Succinellite		False	True	False
247	247	NUM	CD	nummod	Symborodon		False	False	False
Symborodon	Symborodon	PROPN	NNP	appos	Succinellite	TAXA	True	False	False
50	50	NUM	CD	nummod	Synagodus		False	False	False
Synagodus	Synagodus	PROPN	NNP	appos	Symborodon	TAXA	True	False	False
179	179	NUM	CD	appos	Synagodus		False	False	False
,	,	PUNCT	,	punct	Synagodus		False	True	False
185	185	NUM	CD	appos	Synagodus		False	False	False
,	,	PUNCT	,	punct	Synagodus		False	True	False
180	180	NUM	CD	appos	Synagodus		False	False	False
,	,	PUNCT	,	punct	Synagodus		False	True	False
193	193	NUM	CD	nummod	Taenia		False	False	False
Taenia	Taenia	PROPN	NNP	appos	Synagodus		True	False	False
11	11	NUM	CD	appos	Taenia		False	False	False
,	,	PUNCT	,	punct	Succinellite		False	True	False
40	40	NUM	CD	nummod	Taxocrinus		False	False	False
Taxocrinus	Taxocrinus	PROPN	NNP	appos	Succinellite	TAXA	True	False	False
228	228	NUM	CD	appos	Taxocrinus		False	False	False
,	,	PUNCT	,	punct	Taxocrinus		False	True	False
260	260	NUM	CD	nummod	Teinostoma		False	False	False
Teinostoma	Teinostoma	PROPN	NNP	appos	Taxocrinus	TAXA	True	False	False
211	211	NUM	CD	nummod	Temnocyon		False	False	False
Temnocyon	Temnocyon	PROPN	NNP	appos	Teinostoma	TAXA	True	False	False
178	178	NUM	CD	appos	Temnocyon		False	False	False
,	,	PUNCT	,	punct	Temnocyon		False	True	False
179	179	NUM	CD	nummod	Termcs		False	False	False
Termcs	Termcs	PROPN	NNP	appos	Temnocyon		True	False	False
155	155	NUM	CD	nummod	Tetramera		False	False	False
Tetramera	Tetramera	PROPN	NNP	appos	Temnocyon	TAXA	True	False	False
227	227	NUM	CD	nummod	Tetramorium		False	False	False
