Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
OBSERVATIONS	observation	NOUN	NNS	ROOT	OBSERVATIONS		True	False	False
ON	on	ADP	IN	prep	OBSERVATIONS		True	False	True
THE	the	DET	DT	det	STRUCTURE		True	False	True
STRUCTURE	structure	NOUN	NN	pobj	ON		True	False	False
OF	of	ADP	IN	prep	STRUCTURE		True	False	True
THE	the	DET	DT	det	MANATEE		True	False	True
MANATEE	MANATEE	PROPN	NNP	pobj	OF		True	False	False
.	.	PUNCT	.	punct	OBSERVATIONS		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	prep	"
"		True	False	True
HENRY	HENRY	PROPN	NNP	compound	CHAPMAN	PERSON	True	False	False
C.	C.	PROPN	NNP	compound	CHAPMAN	PERSON	False	False	False
CHAPMAN	CHAPMAN	PROPN	NNP	pobj	BY	PERSON	True	False	False
,	,	PUNCT	,	punct	CHAPMAN		False	True	False
M.D.	M.D.	PROPN	NNP	appos	CHAPMAN		False	False	False
"
"	"
"	SPACE	_SP	punct	think		False	False	False
Although	although	SCONJ	IN	mark	appeared		True	False	True
in	in	ADP	IN	prep	appeared		True	False	True
1872	1872	NUM	CD	pobj	in	DATE	False	False	False
there	there	PRON	EX	expl	appeared		True	False	True
appeared	appear	VERB	VBD	advcl	think		True	False	False
in	in	ADP	IN	prep	appeared		True	False	True
the	the	DET	DT	det	Transactions	ORG	True	False	True
Transactions	Transactions	PROPN	NNPS	pobj	in	ORG	True	False	False
of	of	ADP	IN	prep	Transactions	ORG	True	False	True
the	the	DET	DT	det	Society	ORG	True	False	True
Zoological	Zoological	PROPN	NNP	compound	Society	ORG	True	False	False
Society	Society	PROPN	NNP	pobj	of	ORG	True	False	False
of	of	ADP	IN	prep	Society	ORG	True	False	True
London	London	PROPN	NNP	pobj	of	ORG	True	False	False
a	a	DET	DT	det	paper		True	False	True
most	most	ADV	RBS	advmod	admirable		True	False	True
admirable	admirable	ADJ	JJ	amod	paper		True	False	False
paper	paper	NOUN	NN	dobj	appeared		True	False	False
""""	""""	PUNCT	``	punct	paper		False	True	False
On	on	ADP	IN	prep	paper	WORK_OF_ART	True	False	True
the	the	DET	DT	det	Form	WORK_OF_ART	True	False	True
Form	Form	PROPN	NNP	pobj	On	WORK_OF_ART	True	False	False
and	and	CCONJ	CC	cc	Form	WORK_OF_ART	True	False	True
Structure	structure	NOUN	NN	conj	Form	WORK_OF_ART	True	False	False
of	of	ADP	IN	prep	Form	WORK_OF_ART	True	False	True
the	the	DET	DT	det	Manatee	WORK_OF_ART	True	False	True
Manatee	Manatee	PROPN	NNP	pobj	of	WORK_OF_ART	True	False	False
,	,	PUNCT	''	punct	paper		False	True	False
""""	""""	PUNCT	''	punct	paper		False	True	False
by	by	ADP	IN	prep	paper		True	False	True
Dr.	Dr.	PROPN	NNP	compound	Murie		False	False	False
Murie	Murie	PROPN	NNP	pobj	by	PERSON	True	False	False
,	,	PUNCT	,	punct	appeared		False	True	False
as	as	ADP	IN	mark	engaged		True	False	True
I	I	PRON	PRP	nsubjpass	engaged		True	False	True
have	have	AUX	VBP	aux	engaged		True	False	True
been	be	AUX	VBN	auxpass	engaged		True	False	True
lately	lately	ADV	RB	advmod	engaged		True	False	False
engaged	engage	VERB	VBN	advcl	appeared		True	False	False
in	in	ADP	IN	prep	engaged		True	False	True
the	the	DET	DT	det	dissection		True	False	True
dissection	dissection	NOUN	NN	pobj	in		True	False	False
of	of	ADP	IN	prep	dissection		True	False	True
