Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
NEW	new	ADJ	JJ	amod	MOLLUSKS		True	False	False
LAND	land	NOUN	NN	compound	MOLLUSKS		True	False	False
MOLLUSKS	mollusk	NOUN	NNS	ROOT	MOLLUSKS		True	False	False
OF	of	ADP	IN	prep	MOLLUSKS		True	False	True
THE	the	DET	DT	det	EMPIRE		True	False	True
JAPANESE	japanese	ADJ	JJ	amod	EMPIRE	NORP	True	False	False
EMPIRE	empire	NOUN	NN	pobj	OF		True	False	False
.	.	PUNCT	.	punct	MOLLUSKS		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	ROOT	BY		True	False	True
H.	H.	PROPN	NNP	compound	A	PERSON	False	False	False
A	A	PROPN	NNP	pobj	BY	PERSON	True	False	True
,	,	PUNCT	,	punct	A		False	True	False
PILSBRY	PILSBRY	PROPN	NNP	conj	A		True	False	False
AND	and	CCONJ	CC	cc	PILSBRY		True	False	True
Y.	Y.	PROPN	NNP	compound	HIRASE		False	False	False
HIRASE	HIRASE	PROPN	NNP	conj	PILSBRY		True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"
"	"
"	SPACE	_SP	punct	described		False	False	False
A	a	DET	DT	det	number		True	False	True
number	number	NOUN	NN	nsubjpass	described		True	False	False
of	of	ADP	IN	prep	number		True	False	True
new	new	ADJ	JJ	amod	forms		True	False	False
forms	form	NOUN	NNS	pobj	of		True	False	False
chiefly	chiefly	ADV	RB	advmod	collected		True	False	False
collected	collect	VERB	VBN	acl	number		True	False	False
by	by	ADP	IN	agent	collected		True	False	True
Mr.	Mr.	PROPN	NNP	compound	Nakacla		False	False	False
Nakacla	Nakacla	PROPN	NNP	pobj	by	PERSON	True	False	False
in	in	ADP	IN	prep	collected		True	False	True
Kyushu	Kyushu	PROPN	NNP	pobj	in	GPE	True	False	False
and	and	CCONJ	CC	cc	Kyushu		True	False	True
the	the	DET	DT	det	chain		True	False	True
Ryukyu	Ryukyu	PROPN	NNP	compound	chain	GPE	True	False	False
chain	chain	NOUN	NN	conj	Kyushu		True	False	False
last	last	ADJ	JJ	amod	winter	DATE	True	False	True
winter	winter	NOUN	NN	npadvmod	collected	DATE	True	False	False
are	be	AUX	VBP	auxpass	described		True	False	True
herein	herein	ADV	RB	advmod	described		True	False	True
described	describe	VERB	VBN	ROOT	described		True	False	False
.	.	PUNCT	.	punct	described		False	True	False
"
"	"
"	SPACE	_SP	punct	been		False	False	False
In	in	ADP	IN	prep	encountered		True	False	True
working	work	VERB	VBG	pcomp	In		True	False	False
up	up	ADP	RP	prt	working		True	False	True
these	these	DET	DT	det	islands		True	False	True
islands	island	NOUN	NNS	dobj	working		True	False	False
many	many	ADJ	JJ	amod	hardships		True	False	True
hardships	hardship	NOUN	NNS	nsubjpass	encountered		True	False	False
and	and	CCONJ	CC	cc	hardships		True	False	True
dangers	danger	NOUN	NNS	conj	hardships		True	False	False
were	be	AUX	VBD	auxpass	encountered		True	False	True
encountered	encounter	VERB	VBN	advcl	been		True	False	False
,	,	PUNCT	,	punct	encountered		False	True	False
not	not	PART	RB	neg	being		True	False	True
the	the	DET	DT	det	least		True	False	True
least	least	ADJ	JJS	nsubj	being		True	False	True
being	be	VERB	VBG	advcl	encountered		True	False	True
the	the	DET	DT	det	abundance		True	False	True
abundance	abundance	NOUN	NN	attr	being		True	False	False
of	of	ADP	IN	prep	abundance		True	False	True
venomous	venomous	ADJ	JJ	amod	snakes		True	False	False
snakes	snake	NOUN	NNS	pobj	of		True	False	False
locally	locally	ADV	RB	advmod	called		True	False	False
called	call	VERB	VBN	acl	snakes		True	False	False
""""	""""	PUNCT	``	punct	Hahu		False	True	False
Hahu	Hahu	PROPN	NNP	oprd	called		True	False	False
.	.	PUNCT	.	punct	encountered		False	True	False
""""	""""	PUNCT	.	punct	encountered		False	True	False
"
"	"
"	SPACE	_SP	punct	encountered		False	False	False
The	the	DET	DT	det	results		True	False	True
malacological	malacological	ADJ	JJ	amod	results		True	False	False
results	result	NOUN	NNS	nsubj	been		True	False	False
have	have	AUX	VBP	aux	been		True	False	True
been	be	VERB	VBN	ROOT	been		True	False	True
most	most	ADV	RBS	advmod	gratifying		True	False	True
gratifying	gratifying	ADJ	JJ	acomp	been		True	False	False
,	,	PUNCT	,	punct	been		False	True	False
as	as	ADP	IN	mark	have		True	False	True
we	we	PRON	PRP	nsubj	have		True	False	True
now	now	ADV	RB	advmod	have		True	False	True
have	have	VERB	VBP	advcl	been		True	False	True
a	a	DET	DT	det	knowledge		True	False	True
fair	fair	ADJ	JJ	amod	knowledge		True	False	False
knowledge	knowledge	NOUN	NN	dobj	have		True	False	False
of	of	ADP	IN	prep	knowledge		True	False	True
the	the	DET	DT	det	snails		True	False	True
snails	snail	NOUN	NNS	pobj	of		True	False	False
of	of	ADP	IN	prep	snails		True	False	True
all	all	DET	PDT	predet	islands		True	False	True
the	the	DET	DT	det	islands		True	False	True
larger	large	ADJ	JJR	amod	islands		True	False	False
islands	island	NOUN	NNS	pobj	of		True	False	False
and	and	CCONJ	CC	cc	islands		True	False	True
many	many	ADJ	JJ	conj	islands		True	False	True
of	of	ADP	IN	prep	many		True	False	True
the	the	DET	DT	det	ones		True	False	True
smaller	small	ADJ	JJR	amod	ones		True	False	False
ones	one	NOUN	NNS	pobj	of		True	False	False
.	.	PUNCT	.	punct	been		False	True	False
"
"	"
"	SPACE	_SP	punct	sent		False	False	False
Mr.	Mr.	PROPN	NNP	compound	Nakada		False	False	False
Nakada	Nakada	PROPN	NNP	nsubjpass	sent	PERSON	True	False	False
has	have	AUX	VBZ	aux	sent		True	False	True
now	now	ADV	RB	advmod	sent		True	False	True
been	be	AUX	VBN	auxpass	sent		True	False	True
sent	send	VERB	VBN	ROOT	sent		True	False	False
to	to	ADP	IN	prep	sent		True	False	True
China	China	PROPN	NNP	pobj	to	GPE	True	False	False
.	.	PUNCT	.	punct	sent		False	True	False
"
"	"
"	SPACE	_SP	punct	differs		False	False	False
OYCLOPHORIDJE	OYCLOPHORIDJE	PROPN	NNP	nsubj	differs		True	False	False
.	.	PUNCT	.	punct	OYCLOPHORIDJE		False	True	False
"
"	"
"	SPACE	_SP	punct	OYCLOPHORIDJE		False	False	False
Cyclophorus	cyclophorus	NOUN	NN	compound	subsp	TAXA	True	False	False
turgidus	turgidus	NOUN	NN	compound	subsp	TAXA	True	False	False
miyakoensis	miyakoensis	NOUN	NN	compound	subsp	TAXA	True	False	False
n.	n.	NOUN	NN	compound	subsp		False	False	False
subsp	subsp	NOUN	NN	appos	OYCLOPHORIDJE		True	False	False
.	.	PUNCT	.	punct	subsp		False	True	False
"
"	"
"	SPACE	_SP	punct	OYCLOPHORIDJE		False	False	False
This	this	DET	DT	det	form		True	False	True
form	form	NOUN	NN	nsubj	differs		True	False	False
differs	differ	VERB	VBZ	ROOT	differs		True	False	False
from	from	ADP	IN	prep	differs		True	False	True
C.	C.	PROPN	NNP	compound	turgidus	TAXA	False	False	False
turgidus	turgidus	PROPN	NNP	pobj	from	TAXA	True	False	False
by	by	ADP	IN	prep	differs		True	False	True
its	its	PRON	PRP$	poss	umbilicus		True	False	True
wider	wide	ADJ	JJR	amod	umbilicus		True	False	False
umbilicus	umbilicus	NOUN	NN	pobj	by		True	False	False
,	,	PUNCT	,	punct	umbilicus		False	True	False
smaller	small	ADJ	JJR	amod	aperture		True	False	False
aperture	aperture	NOUN	NN	appos	umbilicus		True	False	False
,	,	PUNCT	,	punct	umbilicus		False	True	False
slightly	slightly	ADV	RB	advmod	expanded		True	False	False
expanded	expanded	ADJ	JJ	amod	lip		True	False	False
and	and	CCONJ	CC	cc	expanded		True	False	True
obtuse	obtuse	ADJ	JJ	conj	expanded		True	False	False
but	but	CCONJ	CC	cc	expanded		True	False	True
not	not	PART	RB	neg	thickened		True	False	True
thickened	thicken	VERB	VBN	conj	expanded		True	False	False
lip	lip	NOUN	NN	appos	umbilicus		True	False	False
,	,	PUNCT	,	punct	lip		False	True	False
which	which	DET	WDT	nsubj	is		True	False	True
is	be	VERB	VBZ	relcl	umbilicus		True	False	True
white	white	ADJ	JJ	acomp	is		True	False	False
.	.	PUNCT	.	punct	differs		False	True	False
"
"	"
"	SPACE	_SP	punct	differs		False	False	False
It	it	PRON	PRP	nsubj	differs		True	False	True
differs	differ	VERB	VBZ	ROOT	differs		True	False	False
from	from	ADP	IN	prep	differs		True	False	True
C.	C.	PROPN	NNP	compound	kikaiensis	TAXA	False	False	False
kikaiensis	kikaiensis	PROPN	NNP	pobj	from	TAXA	True	False	False
by	by	ADP	IN	prep	differs		True	False	True
the	the	DET	DT	det	peristome		True	False	True
non	non	ADJ	JJ	amod	peristome		True	False	False
-	-	ADJ	JJ	amod	peristome		False	True	False
duplicate	duplicate	ADJ	JJ	amod	peristome		True	False	False
peristome	peristome	NOUN	NN	pobj	by		True	False	False
and	and	CCONJ	CC	cc	peristome		True	False	True
large	large	ADJ	JJ	amod	size		True	False	False
size	size	NOUN	NN	conj	peristome		True	False	False
.	.	PUNCT	.	punct	differs		False	True	False
"
"	"
"	SPACE	_SP	punct	related		False	False	False
It	it	PRON	PRP	nsubjpass	related		True	False	True
is	be	AUX	VBZ	auxpass	related		True	False	True
related	relate	VERB	VBN	ROOT	related		True	False	False
also	also	ADV	RB	advmod	related		True	False	True
to	to	ADP	IN	prep	related		True	False	True
C.	C.	PROPN	NNP	compound	Mlldff	TAXA	False	False	False
elegans	elegans	PROPN	NNP	compound	Mlldff	TAXA	True	False	False
Mlldff	Mlldff	PROPN	NNP	pobj	to		True	False	False
.	.	PUNCT	,	pobj	to		False	True	False
,	,	PUNCT	,	punct	.		False	True	False
from	from	ADP	IN	prep	.		True	False	True
the	the	DET	DT	det	Rocks	LOC	True	False	True
Marble	Marble	PROPN	NNP	compound	Rocks	LOC	True	False	False
Rocks	Rocks	PROPN	NNPS	pobj	from	LOC	True	False	False
,	,	PUNCT	,	punct	Rocks		False	True	False
Kuang	Kuang	PROPN	NNP	compound	tung	GPE	True	False	False
-	-	PUNCT	HYPH	punct	tung	GPE	False	True	False
tung	tung	PROPN	NNP	npadvmod	Rocks	GPE	True	False	False
,	,	PUNCT	,	punct	tung		False	True	False
China	China	PROPN	NNP	appos	tung	GPE	True	False	False
.	.	PUNCT	.	punct	related		False	True	False
"
"	"
"	SPACE	_SP	punct	varies		False	False	False
The	the	DET	DT	det	coloration		True	False	True
coloration	coloration	NOUN	NN	nsubj	varies		True	False	False
varies	vary	VERB	VBZ	ROOT	varies		True	False	False
from	from	ADP	IN	prep	varies		True	False	True
yellowish	yellowish	ADJ	JJ	amod	white		True	False	False
-	-	PUNCT	HYPH	punct	white		False	True	False
white	white	ADJ	JJ	pobj	from		True	False	False
with	with	ADP	IN	prep	white		True	False	True
numerous	numerous	ADJ	JJ	amod	lines		True	False	False
spiral	spiral	ADJ	JJ	amod	lines		True	False	False
lines	line	NOUN	NNS	pobj	with		True	False	False
and	and	CCONJ	CC	cc	lines		True	False	True
bands	band	NOUN	NNS	conj	lines		True	False	False
of	of	ADP	IN	prep	bands		True	False	True
brown	brown	ADJ	JJ	amod	spots		True	False	False
spots	spot	NOUN	NNS	pobj	of		True	False	False
,	,	PUNCT	,	punct	white		False	True	False
to	to	ADP	IN	prep	white		True	False	True
dark	dark	ADJ	JJ	amod	brown		True	False	False
chestnut	chestnut	NOUN	NN	compound	brown		True	False	False
brown	brown	NOUN	NN	pobj	to		True	False	False
with	with	ADP	IN	prep	brown		True	False	True
interrupted	interrupted	ADJ	JJ	amod	bands		True	False	False
,	,	PUNCT	,	punct	bands		False	True	False
irregular	irregular	ADJ	JJ	amod	bands		True	False	False
whitish	whitish	ADJ	JJ	amod	bands		True	False	False
bands	band	NOUN	NNS	pobj	with		True	False	False
on	on	ADP	IN	prep	bands		True	False	True
the	the	DET	DT	det	base		True	False	True
base	base	NOUN	NN	pobj	on		True	False	False
and	and	CCONJ	CC	cc	bands		True	False	True
whitish	whitish	ADJ	JJ	amod	flames		True	False	False
flames	flame	NOUN	NNS	conj	bands		True	False	False
below	below	ADP	IN	prep	flames		True	False	True
the	the	DET	DT	det	suture		True	False	True
