Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
DESCRIPTION	description	NOUN	NN	ROOT	DESCRIPTION		True	False	False
OF	of	ADP	IN	prep	DESCRIPTION		True	False	True
A	a	DET	DT	det	SPECIES		True	False	True
NEW	new	ADJ	JJ	amod	SPECIES		True	False	False
SPECIES	specie	NOUN	NNS	pobj	OF		True	False	False
OF	of	ADP	IN	prep	SPECIES		True	False	True
CATOSTOMUS	catostomus	NOUN	NN	pobj	OF		True	False	False
(	(	PUNCT	-LRB-	punct	CATOSTOMUS		False	True	False
CATOSTOMUS	catostomus	NOUN	NN	compound	CYPHO		True	False	False
CYPHO	cypho	NOUN	NN	appos	CATOSTOMUS		True	False	False
)	)	PUNCT	-RRB-	punct	CATOSTOMUS		False	True	False
FROM	from	ADP	IN	prep	CATOSTOMUS		True	False	True
THE	the	DET	DT	det	RIVER	LOC	True	False	True
COLORADO	COLORADO	PROPN	NNP	compound	RIVER	LOC	True	False	False
RIVER	RIVER	PROPN	NNP	pobj	FROM	LOC	True	False	False
.	.	PUNCT	.	punct	DESCRIPTION		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	ROOT	BY		True	False	True
WM	WM	PROPN	NNP	pobj	BY		True	False	False
.	.	PUNCT	.	case	WM		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
N.	N.	PROPN	NNP	compound	LOCKINGTON		False	False	False
LOCKINGTON	LOCKINGTON	PROPN	NNP	pobj	"
"	PERSON	True	False	False
.	.	PUNCT	.	punct	LOCKINGTON		False	True	False
"
"	"
"	SPACE	_SP	compound	cypho		False	False	False
Catostomus	catostomus	NOUN	NN	compound	cypho	TAXA	True	False	False
cypho	cypho	NOUN	NN	ROOT	cypho	TAXA	True	False	False
,	,	PUNCT	,	punct	cypho		False	True	False
sp	sp	NOUN	NN	compound	.	DATE	True	False	False
.	.	PROPN	NNP	appos	cypho	DATE	False	True	False
"
"	"
"	SPACE	_SP	punct	cypho	DATE	False	False	False
nov	nov	PROPN	NNP	compound	D.	DATE	True	False	False
.	.	PROPN	NNP	compound	D.	DATE	False	True	False
