Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
PROLONGED	prolonged	ADJ	JJ	amod	LIFE		True	False	False
LIFE	life	NOUN	NN	ROOT	LIFE		True	False	False
OF	of	ADP	IN	prep	LIFE		True	False	True
INVERTEBRATES	invertebrate	NOUN	NNS	pobj	OF		True	False	False
:	:	PUNCT	:	punct	LIFE		False	True	False
NOTES	note	NOUN	NNS	appos	LIFE		True	False	False
ON	on	ADP	IN	prep	NOTES		True	False	True
THE	the	DET	DT	det	AGE		True	False	True
AGE	age	NOUN	NN	pobj	ON		True	False	False
AND	and	CCONJ	CC	cc	AGE		True	False	True
HABITS	habit	NOUN	NNS	conj	AGE		True	False	False
OF	of	ADP	IN	prep	AGE		True	False	True
THE	the	DET	DT	det	TARANTULA		True	False	True
AMERICAN	american	ADJ	JJ	amod	TARANTULA	NORP	True	False	False
TARANTULA	TARANTULA	PROPN	NNP	pobj	OF		True	False	False
.	.	PUNCT	.	punct	NOTES		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	ROOT	BY		True	False	True
HENRY	HENRY	PROPN	NNP	compound	MCCOOK	PERSON	True	False	False
C.	C.	PROPN	NNP	compound	MCCOOK	PERSON	False	False	False
MCCOOK	MCCOOK	PROPN	NNP	pobj	BY	PERSON	True	False	False
,	,	PUNCT	,	punct	MCCOOK		False	True	False
D.	D.	PROPN	NNP	compound	D.	GPE	False	False	False
D.	D.	PROPN	NNP	appos	MCCOOK	GPE	False	False	False
Until	until	ADP	IN	prep	known		True	False	True
very	very	ADV	RB	advmod	lately		True	False	True
lately	lately	ADV	RB	pcomp	Until		True	False	False
little	little	ADJ	JJ	nsubjpass	known		True	False	False
has	have	AUX	VBZ	aux	known		True	False	True
been	be	AUX	VBN	auxpass	known		True	False	True
known	know	VERB	VBN	ROOT	known		True	False	False
concerning	concern	VERB	VBG	prep	little		True	False	False
the	the	DET	DT	det	possibilities		True	False	True
possibilities	possibility	NOUN	NNS	pobj	concerning		True	False	False
of	of	ADP	IN	prep	possibilities		True	False	True
prolonged	prolong	VERB	VBN	amod	life		True	False	False
life	life	NOUN	NN	pobj	of		True	False	False
among	among	ADP	IN	prep	life		True	False	True
the	the	DET	DT	det	orders		True	False	True
lower	low	ADJ	JJR	amod	orders		True	False	False
orders	order	NOUN	NNS	pobj	among		True	False	False
of	of	ADP	IN	prep	orders		True	False	True
animals	animal	NOUN	NNS	pobj	of		True	False	False
.	.	PUNCT	.	punct	known		False	True	False
"
"	"
"	SPACE	_SP	punct	known		False	False	False
It	it	PRON	PRP	nsubjpass	known		True	False	True
is	be	AUX	VBZ	auxpass	known		True	False	True
well	well	ADV	RB	advmod	known		True	False	True
known	know	VERB	VBN	ROOT	known		True	False	False
that	that	SCONJ	IN	mark	is		True	False	True
the	the	DET	DT	det	waste		True	False	True
waste	waste	NOUN	NN	nsubj	is		True	False	False
of	of	ADP	IN	prep	waste		True	False	True
life	life	NOUN	NN	pobj	of		True	False	False
is	be	AUX	VBZ	ccomp	known		True	False	True
very	very	ADV	RB	advmod	great		True	False	True
great	great	ADJ	JJ	acomp	is		True	False	False
in	in	ADP	IN	prep	is		True	False	True
the	the	DET	DT	det	conditions		True	False	True
natural	natural	ADJ	JJ	amod	conditions		True	False	False
conditions	condition	NOUN	NNS	pobj	in		True	False	False
surrounding	surround	VERB	VBG	acl	conditions		True	False	False
most	most	ADJ	JJS	amod	creatures		True	False	True
inferior	inferior	ADJ	JJ	amod	creatures		True	False	False
creatures	creature	NOUN	NNS	dobj	surrounding		True	False	False
,	,	PUNCT	,	punct	is		False	True	False
so	so	SCONJ	IN	mark	checked		True	False	True
that	that	SCONJ	IN	mark	checked		True	False	True
the	the	DET	DT	det	fecundity		True	False	True
immense	immense	ADJ	JJ	amod	fecundity		True	False	False
fecundity	fecundity	NOUN	NN	nsubjpass	checked		True	False	False
of	of	ADP	IN	prep	fecundity		True	False	True
insects	insect	NOUN	NNS	pobj	of		True	False	False
and	and	CCONJ	CC	cc	insects		True	False	True
araneads	aranead	NOUN	NNS	conj	insects		True	False	False
,	,	PUNCT	,	punct	checked		False	True	False
for	for	ADP	IN	prep	checked		True	False	True
example	example	NOUN	NN	pobj	for		True	False	False
,	,	PUNCT	,	punct	checked		False	True	False
is	be	AUX	VBZ	auxpass	checked		True	False	True
abundantly	abundantly	ADV	RB	advmod	checked		True	False	False
checked	check	VERB	VBN	advcl	is		True	False	False
.	.	PUNCT	.	punct	known		False	True	False
"
"	"
"	SPACE	_SP	punct	counted		False	False	False
I	I	PRON	PRP	nsubj	counted		True	False	True
have	have	AUX	VBP	aux	counted		True	False	True
counted	count	VERB	VBN	ROOT	counted		True	False	False
over	over	ADP	IN	quantmod	hundred		True	False	True
eleven	eleven	NUM	CD	compound	hundred	CARDINAL	True	False	True
hundred	hundred	NUM	CD	nummod	eggs	CARDINAL	True	False	True
eggs	egg	NOUN	NNS	dobj	counted		True	False	False
and	and	CCONJ	CC	cc	eggs		True	False	True
young	young	ADJ	JJ	amod	spiders		True	False	False
spiders	spider	NOUN	NNS	conj	eggs		True	False	False
in	in	ADP	IN	prep	eggs		True	False	True
the	the	DET	DT	det	cocoon		True	False	True
single	single	ADJ	JJ	amod	cocoon		True	False	False
egg	egg	NOUN	NN	compound	cocoon		True	False	False
-	-	PUNCT	HYPH	punct	cocoon		False	True	False
cocoon	cocoon	NOUN	NN	pobj	in		True	False	False
of	of	ADP	IN	prep	cocoon		True	False	True
the	the	DET	DT	det	Argiope		True	False	True
Bank	Bank	PROPN	NNP	compound	Argiope		True	False	False
Argiope	Argiope	PROPN	NNP	pobj	of	TAXA	True	False	False
,	,	PUNCT	,	punct	Argiope		False	True	False
Argiope	Argiope	PROPN	NNP	compound	riparia	TAXA	True	False	False
riparia	riparia	NOUN	NN	appos	Argiope	TAXA	True	False	False
,	,	PUNCT	,	punct	counted		False	True	False
yet	yet	CCONJ	CC	cc	counted		True	False	True
one	one	NUM	CD	nsubj	is		True	False	True
of	of	ADP	IN	prep	one		True	False	True
the	the	DET	DT	det	finds		True	False	True
rarest	rare	ADJ	JJS	amod	finds		True	False	False
finds	find	NOUN	NNS	pobj	of		True	False	False
for	for	ADP	IN	prep	finds		True	False	True
an	an	DET	DT	det	observer		True	False	True
observer	observer	NOUN	NN	pobj	for		True	False	False
is	be	VERB	VBZ	conj	counted		True	False	True
