Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
ON	on	ADP	IN	ROOT	ON		True	False	True
THE	the	DET	DT	det	GENESIS		True	False	True
MECHANICAL	mechanical	ADJ	JJ	amod	GENESIS		True	False	False
GENESIS	genesi	NOUN	NNS	pobj	ON		True	False	False
OF	of	ADP	IN	prep	GENESIS		True	False	True
THE	the	DET	DT	det	SCALES		True	False	True
SCALES	scale	NOUN	NNS	pobj	OF		True	False	False
OF	of	ADP	IN	prep	SCALES		True	False	True
FISHES	fish	NOUN	NNS	pobj	OF		True	False	False
.	.	PUNCT	.	punct	ON		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	prep	"
"		True	False	True
JOHN	JOHN	PROPN	NNP	compound	RYDEPv	PERSON	True	False	False
A.	A.	PROPN	NNP	compound	RYDEPv	PERSON	False	False	False
RYDEPv	RYDEPv	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"
"	"
"	SPACE	_SP	punct	suggested		False	False	False
Fourteen	fourteen	NUM	CD	nummod	years	DATE	True	False	False
years	year	NOUN	NNS	npadvmod	ago	DATE	True	False	False
ago	ago	ADV	RB	advmod	suggested	DATE	True	False	False
the	the	DET	DT	det	writer		True	False	True
present	present	ADJ	JJ	amod	writer		True	False	False
writer	writer	NOUN	NN	nsubj	suggested		True	False	False
suggested	suggest	VERB	VBD	ROOT	suggested		True	False	False
that	that	SCONJ	IN	mark	ascribed		True	False	True
the	the	DET	DT	det	metamorphosis		True	False	True
slow	slow	ADJ	JJ	amod	metamorphosis		True	False	False
metamorphosis	metamorphosis	NOUN	NN	nsubjpass	ascribed		True	False	False
of	of	ADP	IN	prep	metamorphosis		True	False	True
the	the	DET	DT	det	forms		True	False	True
forms	form	NOUN	NNS	pobj	of		True	False	False
of	of	ADP	IN	prep	forms		True	False	True
the	the	DET	DT	det	crowns		True	False	True
crowns	crown	NOUN	NNS	pobj	of		True	False	False
of	of	ADP	IN	prep	crowns		True	False	True
the	the	DET	DT	det	teeth		True	False	True
teeth	tooth	NOUN	NNS	pobj	of		True	False	False
of	of	ADP	IN	prep	teeth		True	False	True
mammalia/	mammalia/	NOUN	NNS	pobj	of		False	False	False
in	in	ADP	IN	prep	metamorphosis		True	False	True
the	the	DET	DT	det	course		True	False	True
course	course	NOUN	NN	pobj	in		True	False	False
of	of	ADP	IN	prep	course		True	False	True
a	a	DET	DT	det	number		True	False	True
vast	vast	ADJ	JJ	amod	number		True	False	False
number	number	NOUN	NN	pobj	of		True	False	False
of	of	ADP	IN	prep	number		True	False	True
successive	successive	ADJ	JJ	amod	generations		True	False	False
generations	generation	NOUN	NNS	pobj	of		True	False	False
,	,	PUNCT	,	punct	ascribed		False	True	False
might	might	AUX	MD	aux	ascribed		True	False	True
l)e	l)e	X	XX	dep	ascribed		False	False	False
ascribed	ascribe	VERB	VBN	ccomp	suggested		True	False	False
to	to	ADP	IN	prep	ascribed		True	False	True
the	the	DET	DT	det	action		True	False	True
continuous	continuous	ADJ	JJ	amod	action		True	False	False
,	,	PUNCT	,	punct	continuous		False	True	False
slow	slow	ADJ	JJ	conj	continuous		True	False	False
and	and	CCONJ	CC	cc	slow		True	False	True
cumulative	cumulative	ADJ	JJ	conj	slow		True	False	False
action	action	NOUN	NN	pobj	to		True	False	False
of	of	ADP	IN	prep	action		True	False	True
mechanical	mechanical	ADJ	JJ	amod	strains		True	False	False
strains	strain	NOUN	NNS	pobj	of		True	False	False
and	and	CCONJ	CC	cc	strains		True	False	True
pressures	pressure	NOUN	NNS	conj	strains		True	False	False
in	in	ADP	IN	prep	action		True	False	True
definite	definite	ADJ	JJ	amod	directions		True	False	False
directions	direction	NOUN	NNS	pobj	in		True	False	False
,	,	PUNCT	,	punct	action		False	True	False
resulting	result	VERB	VBG	acl	action		True	False	False
in	in	ADP	IN	prep	resulting		True	False	True
the	the	DET	DT	det	production		True	False	True
production	production	NOUN	NN	pobj	in		True	False	False
of	of	ADP	IN	prep	production		True	False	True
permanent	permanent	ADJ	JJ	amod	stresses		True	False	False
stresses	stress	NOUN	NNS	pobj	of		True	False	False
and	and	CCONJ	CC	cc	stresses		True	False	True
consequent	consequent	ADJ	JJ	amod	changes		True	False	False
changes	change	NOUN	NNS	conj	stresses		True	False	False
in	in	ADP	IN	prep	changes		True	False	True
the	the	DET	DT	det	forms		True	False	True
forms	form	NOUN	NNS	pobj	in		True	False	False
