Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
MOLLUSCA	MOLLUSCA	PROPN	NNP	ROOT	MOLLUSCA		True	False	False
FROM	from	ADP	IN	prep	MOLLUSCA		True	False	True
CENTRAL	CENTRAL	PROPN	NNP	compound	AMERICA	LOC	True	False	False
AMERICA	AMERICA	PROPN	NNP	pobj	FROM	LOC	True	False	False
AND	and	CCONJ	CC	cc	AMERICA		True	False	True
MEXICO	MEXICO	PROPN	NNP	conj	AMERICA	GPE	True	False	False
.	.	PUNCT	.	punct	MOLLUSCA		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	agent	"
"		True	False	True
HENRY	HENRY	PROPN	NNP	compound	PILSBRY	PERSON	True	False	False
A.	a.	NOUN	NN	compound	PILSBRY	PERSON	False	False	False
PILSBRY	PILSBRY	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	PILSBRY		False	True	False
"
"	"
"	SPACE	_SP	punct	collected		False	False	False
Most	Most	ADJ	JJS	nsubjpass	collected		True	False	True
of	of	ADP	IN	prep	Most		True	False	True
the	the	DET	DT	det	forms		True	False	True
forms	form	NOUN	NNS	pobj	of		True	False	False
described	describe	VERB	VBN	acl	forms		True	False	False
herein	herein	ADV	RB	advmod	described		True	False	True
were	be	AUX	VBD	auxpass	collected		True	False	True
collected	collect	VERB	VBN	ROOT	collected		True	False	False
by	by	ADP	IN	agent	collected		True	False	True
Mr.	Mr.	PROPN	NNP	compound	A.		False	False	False
A.	A.	PROPN	NNP	pobj	by	PERSON	False	False	False
"
"	"
"	SPACE	_SP	amod	Hinkley	PERSON	False	False	False
A.	A.	PROPN	NNP	compound	Hinkley	PERSON	False	False	False
Hinkley	Hinkley	PROPN	NNP	oprd	collected	PERSON	True	False	False
during	during	ADP	IN	prep	collected		True	False	True
two	two	NUM	CD	nummod	visits	CARDINAL	True	False	True
visits	visit	NOUN	NNS	pobj	during		True	False	False
to	to	ADP	IN	prep	visits		True	False	True
Guatemala	Guatemala	PROPN	NNP	pobj	to	GPE	True	False	False
.	.	PUNCT	.	punct	collected		False	True	False
"
"	"
"	SPACE	_SP	punct	added		False	False	False
A	a	DET	DT	det	few		True	False	True
few	few	ADJ	JJ	nsubjpass	added		True	False	True
are	be	AUX	VBP	auxpass	added		True	False	True
added	add	VERB	VBN	ROOT	added		True	False	False
from	from	ADP	IN	prep	added		True	False	True
various	various	ADJ	JJ	amod	localities		True	False	True
other	other	ADJ	JJ	amod	localities		True	False	True
localities	locality	NOUN	NNS	pobj	from		True	False	False
,	,	PUNCT	,	punct	added		False	True	False
collected	collect	VERB	VBN	dep	added		True	False	False
by	by	ADP	IN	agent	collected		True	False	True
Mr.	Mr.	PROPN	NNP	compound	Rhoads		False	False	False
S.	S.	PROPN	NNP	compound	Rhoads	PERSON	False	False	False
N.	N.	PROPN	NNP	compound	Rhoads	PERSON	False	False	False
Rhoads	Rhoads	PROPN	NNP	pobj	by	PERSON	True	False	False
and	and	CCONJ	CC	cc	Rhoads		True	False	True
others	other	NOUN	NNS	conj	Rhoads		True	False	True
.	.	PUNCT	.	punct	added		False	True	False
"
"	"
"	SPACE	_SP	punct	belong		False	False	False
With	with	ADP	IN	prep	belong		True	False	True
the	the	DET	DT	det	exception		True	False	True
exception	exception	NOUN	NN	pobj	With		True	False	False
of	of	ADP	IN	prep	exception		True	False	True
Neritilia	Neritilia	PROPN	NNP	pobj	of	TAXA	True	False	False
,	,	PUNCT	,	punct	Neritilia		False	True	False
a	a	DET	DT	det	mollusk		True	False	True
peculiar	peculiar	ADJ	JJ	amod	mollusk		True	False	False
Neritid	Neritid	PROPN	NNP	compound	mollusk		True	False	False
mollusk	mollusk	NOUN	NN	appos	Neritilia		True	False	False
with	with	ADP	IN	prep	mollusk		True	False	True
a	a	DET	DT	det	radula		True	False	True
more	more	ADV	RBR	advmod	specialized		True	False	True
specialized	specialized	ADJ	JJ	amod	radula		True	False	False
radula	radula	NOUN	NN	pobj	with		True	False	False
than	than	SCONJ	IN	prep	radula		True	False	True
others	other	NOUN	NNS	pobj	than		True	False	True
of	of	ADP	IN	prep	others		True	False	True
its	its	PRON	PRP$	poss	family		True	False	True
family	family	NOUN	NN	pobj	of		True	False	False
,	,	PUNCT	,	punct	Neritilia		False	True	False
the	the	DET	DT	det	species		True	False	True
species	specie	NOUN	NNS	nsubj	belong		True	False	False
belong	belong	VERB	VBP	ROOT	belong		True	False	False
to	to	ADP	IN	prep	belong		True	False	True
genera	genus	NOUN	NNS	pobj	to		True	False	False
already	already	ADV	RB	advmod	represented		True	False	True
well	well	ADV	RB	advmod	represented		True	False	True
represented	represent	VERB	VBN	acl	genera		True	False	False
in	in	ADP	IN	prep	represented		True	False	True
Mexico	Mexico	PROPN	NNP	pobj	in	GPE	True	False	False
and	and	CCONJ	CC	cc	Mexico		True	False	True
Central	Central	PROPN	NNP	compound	America	LOC	True	False	False
America	America	PROPN	NNP	conj	Mexico	LOC	True	False	False
.	.	PUNCT	.	punct	belong		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
Salasiella	Salasiella	PROPN	NNP	nsubj	is	TAXA	True	False	False
hinkleyi	hinkleyi	NOUN	NN	nmod	sp	TAXA	True	False	False
n.	n.	NOUN	NN	compound	sp		False	False	False
sp	sp	NOUN	NN	compound	.		True	False	False
.	.	NOUN	NN	appos	Salasiella		False	True	False
"
"	"
"	SPACE	_SP	punct	Salasiella		False	False	False
Fig	fig	NOUN	NN	compound	.		True	False	False
.	.	NOUN	NN	nsubj	is		False	True	False
"
"	"
"	SPACE	_SP	punct	.		False	False	False
2	2	NUM	CD	nummod	"
"	CARDINAL	False	False	False
.	.	PUNCT	.	punct	2		False	True	False
"
"	"
"	SPACE	_SP	punct	.		False	False	False
The	the	DET	DT	det	shell		True	False	True
shell	shell	NOUN	NN	nsubj	is		True	False	False
is	be	AUX	VBZ	ROOT	is		True	False	True
cylindric	cylindric	ADJ	JJ	acomp	is		True	False	False
with	with	ADP	IN	prep	cylindric		True	False	True
tapering	taper	VERB	VBG	amod	spire		True	False	False
spire	spire	NOUN	NN	pobj	with		True	False	False
,	,	PUNCT	,	punct	spire		False	True	False
glossy	glossy	ADJ	JJ	amod	striate		True	False	False
,	,	PUNCT	,	punct	striate		False	True	False
finely	finely	ADV	RB	advmod	striate		True	False	False
,	,	PUNCT	,	punct	striate		False	True	False
arcuately	arcuately	ADV	RB	advmod	striate		True	False	False
striate	striate	ADJ	JJ	appos	spire		True	False	False
,	,	PUNCT	,	punct	cylindric		False	True	False
with	with	ADP	IN	prep	cylindric		True	False	True
numerous	numerous	ADJ	JJ	amod	grooves		True	False	False
irregularly	irregularly	ADV	RB	advmod	spaced		True	False	False
spaced	space	VERB	VBN	amod	grooves		True	False	False
grooves	groove	NOUN	NNS	pobj	with		True	False	False
indicating	indicate	VERB	VBG	acl	grooves		True	False	False
former	former	ADJ	JJ	amod	peristomes		True	False	True
peristomes	peristome	NOUN	NNS	dobj	indicating		True	False	False
.	.	PUNCT	.	punct	is		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
First	first	ADJ	JJ	amod	whorls	ORDINAL	True	False	True
three	three	NUM	CD	nummod	whorls	CARDINAL	True	False	True
whorls	whorl	NOUN	NNS	attr	"
"		True	False	False
rather	rather	ADV	RB	advmod	slowly		True	False	True
slowly	slowly	ADV	RB	advmod	widening		True	False	False
widening	widen	VERB	VBG	acl	whorls		True	False	False
,	,	PUNCT	,	punct	widening		False	True	False
after	after	ADP	IN	prep	descends		True	False	True
which	which	DET	WDT	pobj	after		True	False	True
the	the	DET	DT	det	suture		True	False	True
suture	suture	NOUN	NN	nsubj	descends		True	False	False
descends	descend	VERB	VBZ	relcl	widening		True	False	False
more	more	ADV	RBR	advmod	rapidly		True	False	True
rapidly	rapidly	ADV	RB	advmod	descends		True	False	False
,	,	PUNCT	,	punct	descends		False	True	False
oblique	oblique	ADJ	JJ	npadvmod	descends		True	False	False
to	to	ADP	IN	prep	oblique		True	False	True
the	the	DET	DT	det	whorls		True	False	True
previous	previous	ADJ	JJ	amod	whorls		True	False	False
whorls	whorl	NOUN	NNS	pobj	to		True	False	False
,	,	PUNCT	,	punct	descends		False	True	False
each	each	DET	DT	det	whorl		True	False	True
succeeding	succeed	VERB	VBG	amod	whorl		True	False	False
whorl	whorl	NOUN	NN	npadvmod	descends		True	False	False
at	at	ADP	IN	advmod	least		True	False	True
least	least	ADJ	JJS	advmod	double		True	False	True
double	double	DET	PDT	nummod	width		True	False	False
the	the	DET	DT	det	width		True	False	True
width	width	NOUN	NN	appos	whorl		True	False	False
of	of	ADP	IN	prep	width		True	False	True
that	that	DET	DT	pobj	of		True	False	True
above	above	ADP	IN	prep	that		True	False	True
it	it	PRON	PRP	pobj	above		True	False	True
.	.	PUNCT	.	punct	whorls		False	True	False
"
"	"
"	SPACE	_SP	punct	flattened		False	False	False
The	the	DET	DT	det	whorl		True	False	True
last	last	ADJ	JJ	amod	whorl		True	False	True
whorl	whorl	NOUN	NN	nsubjpass	flattened		True	False	False
is	be	AUX	VBZ	auxpass	flattened		True	False	True
flattened	flatten	VERB	VBN	ROOT	flattened		True	False	False
laterally	laterally	ADV	RB	advmod	flattened		True	False	False
.	.	PUNCT	.	punct	flattened		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
