Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
MOLLUSCA	MOLLUSCA	PROPN	NNP	ROOT	MOLLUSCA		True	False	False
OF	of	ADP	IN	prep	MOLLUSCA		True	False	True
FLINT	FLINT	PROPN	NNP	nmod	ISLANDS	LOC	True	False	False
AND	and	CCONJ	CC	cc	FLINT	LOC	True	False	True
CAROLINE	CAROLINE	PROPN	NNP	conj	FLINT	LOC	True	False	False
ISLANDS	ISLANDS	PROPN	NNPS	pobj	OF	LOC	True	False	False
,	,	PUNCT	,	punct	ISLANDS		False	True	False
IN	in	ADP	IN	prep	ISLANDS		True	False	True
THE	the	DET	DT	det	PACIFIC	LOC	True	False	True
CENTRAL	central	ADJ	JJ	amod	PACIFIC	LOC	True	False	False
PACIFIC	PACIFIC	PROPN	NNP	pobj	IN	LOC	True	False	False
.	.	PUNCT	.	punct	MOLLUSCA		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	prep	"
"		True	False	True
HENRY	HENRY	PROPN	NNP	compound	PILSBRY	PERSON	True	False	False
A.	A.	PROPN	NNP	compound	PILSBRY	PERSON	False	False	False
PILSBRY	PILSBRY	PROPN	NNP	pobj	BY	PERSON	True	False	False
AND	and	CCONJ	CC	cc	PILSBRY		True	False	True
EDWARD	EDWARD	PROPN	NNP	compound	VANATTA	PERSON	True	False	False
G.	G.	PROPN	NNP	compound	VANATTA	PERSON	False	False	False
VANATTA	VANATTA	PROPN	NNP	conj	PILSBRY	PERSON	True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"
"	"
"	SPACE	_SP	punct	collected		False	False	False
The	the	DET	DT	det	species		True	False	True
species	specie	NOUN	NNS	nsubjpass	collected		True	False	False
recorded	record	VERB	VBN	acl	species		True	False	False
below	below	ADP	IN	advmod	recorded		True	False	True
were	be	AUX	VBD	auxpass	collected		True	False	True
collected	collect	VERB	VBN	ROOT	collected		True	False	False
by	by	ADP	IN	agent	collected		True	False	True
Mr.	Mr.	PROPN	NNP	compound	Voy		False	False	False
C.	C.	PROPN	NNP	compound	Voy	PERSON	False	False	False
D.	D.	PROPN	NNP	compound	Voy	PERSON	False	False	False
Voy	Voy	PROPN	NNP	pobj	by	PERSON	True	False	False
,	,	PUNCT	,	punct	Voy		False	True	False
a	a	DET	DT	det	naturalist		True	False	True
Californian	californian	ADJ	JJ	amod	naturalist	NORP	True	False	False
naturalist	naturalist	NOUN	NN	appos	Voy		True	False	False
,	,	PUNCT	,	punct	Voy		False	True	False
in	in	ADP	IN	prep	collected		True	False	True
the	the	DET	DT	det	year	DATE	True	False	True
year	year	NOUN	NN	pobj	in	DATE	True	False	False
1875	1875	NUM	CD	nummod	year	DATE	False	False	False
