Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
DESCRIPTIONS	description	NOUN	NNS	ROOT	DESCRIPTIONS		True	False	False
OF	of	ADP	IN	prep	DESCRIPTIONS		True	False	True
FOUR	four	NUM	CD	nummod	SPECIES	CARDINAL	True	False	True
NEW	new	ADJ	JJ	amod	SPECIES		True	False	False
SPECIES	specie	NOUN	NNS	pobj	OF		True	False	False
AND	and	CCONJ	CC	cc	SPECIES		True	False	True
TWO	two	NUM	CD	nummod	SUBSPECIES	CARDINAL	True	False	True
SUBSPECIES	subspecie	NOUN	NNS	conj	SPECIES		True	False	False
OF	of	ADP	IN	prep	SUBSPECIES		True	False	True
WHITE	white	ADJ	JJ	amod	FOOTED		True	False	False
-	-	PUNCT	HYPH	punct	FOOTED		False	True	False
FOOTED	footed	ADJ	JJ	amod	MICE		True	False	False
MICE	mouse	NOUN	NNS	pobj	OF		True	False	False
FROM	from	ADP	IN	prep	MICE		True	False	True
THE	the	DET	DT	det	STATES	GPE	True	False	True
UNITED	UNITED	PROPN	NNP	compound	STATES	GPE	True	False	False
STATES	STATES	PROPN	NNP	pobj	FROM	GPE	True	False	False
AND	and	CCONJ	CC	cc	STATES		True	False	True
BRITISH	british	ADJ	JJ	amod	COLUMBIA	GPE	True	False	False
COLUMBIA	COLUMBIA	PROPN	NNP	conj	STATES	GPE	True	False	False
.	.	PUNCT	.	punct	DESCRIPTIONS		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	ROOT	BY		True	False	True
SAMUEL	SAMUEL	PROPN	NNP	compound	RHOADS	PERSON	True	False	False
N.	N.	PROPN	NNP	compound	RHOADS	PERSON	False	False	False
RHOADS	RHOADS	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"
"	"
"	SPACE	_SP	punct	received		False	False	False
The	the	DET	DT	det	genus		True	False	True
North	north	ADJ	JJ	amod	American	NORP	True	False	False
American	american	ADJ	JJ	amod	genus	NORP	True	False	False
genus	genus	NOUN	NN	nsubj	received		True	False	False
SUomijt	SUomijt	PROPN	NNP	appos	genus		True	False	False
<	<	PROPN	NNP	appos	genus		False	False	False
,	,	PUNCT	,	punct	genus		False	True	False
comprising	comprise	VERB	VBG	acl	genus		True	False	False
the	the	DET	DT	det	mice		True	False	True
white	white	ADJ	JJ	amod	footed		True	False	False
-	-	PUNCT	HYPH	punct	footed		False	True	False
footed	footed	ADJ	JJ	amod	mice		True	False	False
or	or	CCONJ	CC	cc	footed		True	False	True
deer	deer	NOUN	NN	conj	footed		True	False	False
mice	mouse	NOUN	NNS	dobj	comprising		True	False	False
,	,	PUNCT	,	punct	genus		False	True	False
has	have	AUX	VBZ	aux	received		True	False	True
received	receive	VERB	VBN	ROOT	received		True	False	False
accessions	accession	NOUN	NNS	dobj	received		True	False	False
in	in	ADP	IN	prep	accessions		True	False	True
the	the	DET	DT	det	years	DATE	True	False	True
last	last	ADJ	JJ	amod	years	DATE	True	False	True
ten	ten	NUM	CD	nummod	years	DATE	True	False	True
years	year	NOUN	NNS	pobj	in	DATE	True	False	False
which	which	DET	WDT	nsubj	bring		True	False	True
bring	bring	VERB	VBP	relcl	accessions		True	False	False
the	the	DET	DT	det	number		True	False	True
combined	combine	VERB	VBN	amod	number		True	False	False
number	number	NOUN	NN	dobj	bring		True	False	False
of	of	ADP	IN	prep	number		True	False	True
species	specie	NOUN	NNS	pobj	of		True	False	False
and	and	CCONJ	CC	cc	species		True	False	True
subspecies	subspecie	NOUN	NNS	conj	species		True	False	False
from	from	ADP	IN	prep	bring		True	False	True
twelve	twelve	NUM	CD	pobj	from	CARDINAL	True	False	True
,	,	PUNCT	,	punct	twelve		False	True	False
in	in	ADP	IN	prep	twelve		True	False	True
1885	1885	NUM	CD	pobj	in	DATE	False	False	False
,	,	PUNCT	,	punct	bring		False	True	False
to	to	ADP	IN	prep	bring		True	False	True
thirty	thirty	NUM	CD	compound	seven	CARDINAL	True	False	False
-	-	PUNCT	HYPH	punct	seven	CARDINAL	False	True	False
seven	seven	NUM	CD	pobj	to	CARDINAL	True	False	False
in	in	ADP	IN	prep	seven		True	False	True
1884	1884	NUM	CD	pobj	in	DATE	False	False	False
.	.	PUNCT	.	punct	received		False	True	False
"
"	"
"	SPACE	_SP	punct	appear		False	False	False
It	it	PRON	PRP	nsubj	appear		True	False	True
may	may	AUX	MD	aux	appear		True	False	True
appear	appear	VERB	VB	ROOT	appear		True	False	False
presumptive	presumptive	ADJ	JJ	oprd	appear		True	False	False
to	to	PART	TO	aux	offer		True	False	True
offer	offer	VERB	VB	xcomp	appear		True	False	False
for	for	ADP	IN	prep	offer		True	False	True
consideration	consideration	NOUN	NN	pobj	for		True	False	False
six	six	NUM	CD	nummod	names	CARDINAL	True	False	True
additional	additional	ADJ	JJ	amod	names		True	False	False
names	name	NOUN	NNS	dobj	offer		True	False	False
to	to	ADP	IN	prep	names		True	False	True
this	this	DET	DT	det	list		True	False	True
already	already	ADV	RB	advmod	appalling		True	False	True
rather	rather	ADV	RB	advmod	appalling		True	False	True
appalling	appalling	ADJ	JJ	amod	list		True	False	False
list	list	NOUN	NN	pobj	to		True	False	False
of	of	ADP	IN	prep	list		True	False	True
