Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
On	on	ADP	IN	ROOT	On		True	False	True
the	the	DET	DT	det	CHARACTER		True	False	True
CHARACTER	character	NOUN	NN	pobj	On		True	False	False
OF	of	ADP	IN	prep	CHARACTER		True	False	True
THE	the	DET	DT	det	StAMENS		True	False	True
StAMENS	stamen	NOUN	NNS	pobj	OF		True	False	False
IN	in	ADP	IN	prep	On		True	False	True
OrNITHOGALUM	OrNITHOGALUM	PROPN	NNP	compound	UMBELLATUM		True	False	False
UMBELLATUM	umbellatum	NOUN	NN	pobj	IN	TAXA	True	False	False
.	.	PUNCT	.	punct	On		False	True	False
"
"	"
"	SPACE	_SP	punct	noted		False	False	False
It	it	PRON	PRP	nsubjpass	noted		True	False	True
need	need	AUX	MD	aux	noted		True	False	False
scarcely	scarcely	ADV	RB	advmod	noted		True	False	False
be	be	AUX	VB	auxpass	noted		True	False	True
noted	note	VERB	VBN	ROOT	noted		True	False	False
that	that	SCONJ	IN	mark	are		True	False	True
the	the	DET	DT	det	whorls		True	False	True
floral	floral	ADJ	JJ	amod	whorls		True	False	False
whorls	whorl	NOUN	NNS	nsubj	are		True	False	False
of	of	ADP	IN	prep	whorls		True	False	True
Liliaceous	liliaceous	ADJ	JJ	amod	plants		True	False	False
plants	plant	NOUN	NNS	pobj	of		True	False	False
are	be	AUX	VBP	ccomp	noted		True	False	True
in	in	ADP	IN	prep	are		True	False	True
sets	set	NOUN	NNS	pobj	in		True	False	False
of	of	ADP	IN	prep	sets		True	False	True
three	three	NUM	CD	pobj	of	CARDINAL	True	False	True
,	,	PUNCT	,	punct	noted		False	True	False
though	though	SCONJ	IN	mark	is		True	False	True
it	it	PRON	PRP	nsubj	is		True	False	True
is	be	VERB	VBZ	advcl	noted		True	False	True
often	often	ADV	RB	advmod	is		True	False	True
difficult	difficult	ADJ	JJ	acomp	is		True	False	False
in	in	ADP	IN	prep	is		True	False	True
the	the	DET	DT	det	perianth		True	False	True
sixleaved	sixleaved	ADJ	JJ	amod	perianth		True	False	False
perianth	perianth	NOUN	NN	pobj	in		True	False	False
to	to	PART	TO	aux	distinguish		True	False	True
distinguish	distinguish	VERB	VB	xcomp	is		True	False	False
the	the	DET	DT	det	petaled		True	False	True
three	three	NUM	CD	nummod	petaled	CARDINAL	True	False	True
-	-	PUNCT	HYPH	punct	petaled		False	True	False
petaled	petaled	ADJ	JJ	dobj	distinguish		True	False	False
from	from	ADP	IN	prep	distinguish		True	False	True
the	the	DET	DT	det	series		True	False	True
threesepaled	threesepaled	ADJ	JJ	amod	series		True	False	False
series	series	NOUN	NN	pobj	from		True	False	False
.	.	PUNCT	.	punct	noted		False	True	False
"
"	"
"	SPACE	_SP	punct	are		False	False	False
In	in	ADP	IN	prep	are		True	False	True
Ornithogalum	Ornithogalum	PROPN	NNP	compound	umbellatum	TAXA	True	False	False
umbellatum	umbellatum	NOUN	NN	pobj	In	TAXA	True	False	False
each	each	DET	DT	det	three		True	False	True
three	three	NUM	CD	nsubj	are	CARDINAL	True	False	True
are	be	AUX	VBP	ROOT	are		True	False	True
well	well	ADV	RB	advmod	defined		True	False	True
defined	defined	ADJ	JJ	acomp	are		True	False	False
on	on	ADP	IN	prep	defined		True	False	True
the	the	DET	DT	det	outer		True	False	True
outer	outer	ADJ	JJ	pobj	on		True	False	False
and	and	CCONJ	CC	cc	outer		True	False	True
the	the	DET	DT	det	whorl		True	False	True
inner	inner	ADJ	JJ	amod	whorl		True	False	False
whorl	whorl	NOUN	NN	conj	outer		True	False	False
,	,	PUNCT	,	punct	are		False	True	False
though	though	SCONJ	IN	mark	is		True	False	True
there	there	PRON	EX	expl	is		True	False	True
is	be	VERB	VBZ	advcl	are		True	False	True
no	no	DET	DT	det	difference		True	False	True
difference	difference	NOUN	NN	attr	is		True	False	False
between	between	ADP	IN	prep	difference		True	False	True
the	the	DET	DT	det	two		True	False	True
two	two	NUM	CD	pobj	between	CARDINAL	True	False	True
except	except	SCONJ	IN	prep	difference		True	False	True
in	in	ADP	IN	prep	except		True	False	True
the	the	DET	DT	det	size		True	False	True
smaller	small	ADJ	JJR	amod	size		True	False	False
size	size	NOUN	NN	pobj	in		True	False	False
.	.	PUNCT	.	punct	are		False	True	False
"
"	"
"	SPACE	_SP	punct	are		False	False	False
The	the	DET	DT	det	filaments		True	False	True
filaments	filament	NOUN	NNS	nsubj	are		True	False	False
are	be	AUX	VBP	ROOT	are		True	False	True
petaloid	petaloid	ADJ	JJ	acomp	are		True	False	False
.	.	PUNCT	.	punct	are		False	True	False
"
"	"
"	SPACE	_SP	punct	follows		False	False	False
and	and	CCONJ	CC	cc	follows		True	False	True
the	the	DET	DT	det	whorl		True	False	True
outer	outer	ADJ	JJ	amod	whorl		True	False	False
whorl	whorl	NOUN	NN	nsubj	follows		True	False	False
of	of	ADP	IN	prep	whorl		True	False	True
three	three	NUM	CD	pobj	of	CARDINAL	True	False	True
follows	follow	VERB	VBZ	ROOT	follows		True	False	False
the	the	DET	DT	det	character		True	False	True
character	character	NOUN	NN	dobj	follows		True	False	False
of	of	ADP	IN	prep	character		True	False	True
the	the	DET	DT	det	petals		True	False	True
petals	petal	NOUN	NNS	pobj	of		True	False	False
in	in	ADP	IN	prep	follows		True	False	True
being	be	VERB	VBG	pcomp	in		True	False	True
of	of	ADP	IN	prep	being		True	False	True
a	a	DET	DT	det	size		True	False	True
still	still	ADV	RB	advmod	smaller		True	False	True
smaller	small	ADJ	JJR	amod	size		True	False	False
size	size	NOUN	NN	pobj	of		True	False	False
.	.	PUNCT	.	punct	follows		False	True	False
"
"	"
"	SPACE	_SP	punct	found		False	False	False
But	but	CCONJ	CC	cc	found		True	False	True
when	when	ADV	WRB	advmod	come		True	False	True
we	we	PRON	PRP	nsubj	come		True	False	True
come	come	VERB	VBP	advcl	found		True	False	False
to	to	ADP	IN	prep	come		True	False	True
the	the	DET	DT	det	series		True	False	True
fourth	fourth	ADJ	JJ	amod	series	ORDINAL	True	False	False
series	series	NOUN	NN	pobj	to		True	False	False
,	,	PUNCT	,	punct	series		False	True	False
or	or	CCONJ	CC	cc	series		True	False	True
interior	interior	ADJ	JJ	amod	set		True	False	False
set	set	NOUN	NN	conj	series		True	False	False
of	of	ADP	IN	prep	set		True	False	True
three	three	NUM	CD	nummod	stamens	CARDINAL	True	False	True
stamens	stamen	NOUN	NNS	pobj	of		True	False	False
,	,	PUNCT	,	punct	series		False	True	False
they	they	PRON	PRP	nsubjpass	found		True	False	True
are	be	AUX	VBP	auxpass	found		True	False	True
found	find	VERB	VBN	ROOT	found		True	False	False
to	to	PART	TO	aux	be		True	False	True
be	be	VERB	VB	xcomp	found		True	False	True
larger	large	ADJ	JJR	acomp	be		True	False	False
in	in	ADP	IN	prep	larger		True	False	True
their	their	PRON	PRP$	poss	filaments		True	False	True
filaments	filament	NOUN	NNS	pobj	in		True	False	False
than	than	SCONJ	IN	prep	larger		True	False	True
the	the	DET	DT	det	three		True	False	True
three	three	NUM	CD	pobj	than	CARDINAL	True	False	True
before	before	ADP	IN	prep	three		True	False	True
them	they	PRON	PRP	pobj	before		True	False	True
.	.	PUNCT	.	punct	found		False	True	False
"
"	"
"	SPACE	_SP	punct	is		False	False	False
