Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
DESCRIPTION	description	NOUN	NN	ROOT	DESCRIPTION		True	False	False
OF	of	ADP	IN	prep	DESCRIPTION		True	False	True
SOME	some	DET	DT	det	GENERA		True	False	True
NEW	new	ADJ	JJ	amod	GENERA		True	False	False
GENERA	genera	NOUN	NN	pobj	OF		True	False	False
OF	of	ADP	IN	prep	GENERA		True	False	True
MOLLUSCA	MOLLUSCA	PROPN	NNP	pobj	OF		True	False	False
.	.	PUNCT	.	punct	DESCRIPTION		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
BY	by	ADP	IN	prep	"
"		True	False	True
WILLIAM	WILLIAM	PROPN	NNP	compound	GABB	PERSON	True	False	False
M.	M.	PROPN	NNP	compound	GABB	PERSON	False	False	False
GABB	GABB	PROPN	NNP	pobj	BY	PERSON	True	False	False
.	.	PUNCT	.	punct	BY		False	True	False
"
"	"
"	SPACE	_SP	advmod	published		False	False	False
The	the	DET	DT	det	diagnoses		True	False	True
following	following	ADJ	JJ	amod	diagnoses		True	False	False
diagnoses	diagnosis	NOUN	NNS	nsubjpass	published		True	False	False
of	of	ADP	IN	prep	diagnoses		True	False	True
new	new	ADJ	JJ	amod	genera		True	False	False
genera	genus	NOUN	NNS	pobj	of		True	False	False
are	be	AUX	VBP	auxpass	published		True	False	True
published	publish	VERB	VBN	ROOT	published		True	False	False
in	in	ADP	IN	prep	published		True	False	True
advance	advance	NOUN	NN	pobj	in		True	False	False
of	of	ADP	IN	prep	advance		True	False	True
a	a	DET	DT	det	paper		True	False	True
more	more	ADV	RBR	advmod	extended		True	False	True
extended	extended	ADJ	JJ	amod	paper		True	False	False
paper	paper	NOUN	NN	pobj	of		True	False	False
on	on	ADP	IN	prep	paper		True	False	True
West	west	ADJ	JJ	amod	Indian		True	False	False
Indian	indian	ADJ	JJ	amod	mollusca	TAXA	True	False	False
mollusca	mollusca	NOUN	NN	pobj	on	TAXA	True	False	False
,	,	PUNCT	,	punct	paper		False	True	False
now	now	ADV	RB	advmod	in		True	False	True
in	in	ADP	IN	prep	paper		True	False	True
process	process	NOUN	NN	pobj	in		True	False	False
